Date,Price,Open,High,Low,Vol.,Change %,Price_Lag1
2024-10-30,72347.8,72732.5,72907.4,71460.0,99050.0,-0.53,72730.4
2024-10-31,70281.8,72343.7,72685.7,69674.5,111290.0,-2.86,72347.8
2024-11-01,69507.2,70278.7,71598.4,68846.0,130460.00000000001,-1.1,70281.8
2024-11-02,69325.8,69499.3,69896.9,69029.0,38720.0,-0.26,69507.2
2024-11-03,68769.6,69334.8,69383.6,67514.2,83160.0,-0.8,69325.8
2024-11-04,67848.8,68770.3,69483.4,66834.0,101310.0,-1.34,68769.6
2024-11-05,69373.7,67848.3,70495.6,67473.6,108950.0,2.25,67848.8
2024-11-06,75586.3,69374.1,76401.4,69323.0,357280.0,8.96,69373.7
2024-11-07,75868.6,75585.5,76837.8,74448.2,184160.0,0.37,75586.3
2024-11-08,76517.3,75869.8,77188.5,75599.0,155170.0,0.85,75868.6
2024-11-09,76700.3,76506.1,76904.0,75732.5,72970.0,0.24,76517.3
2024-11-10,80388.5,76681.4,81373.5,76520.5,193830.0,4.81,76700.3
2024-11-11,88664.1,80389.0,89519.0,80231.8,254040.0,10.29,80388.5
2024-11-12,87941.3,88665.0,89929.6,85122.2,288680.0,-0.82,88664.1
2024-11-13,90422.2,87971.2,93226.6,86168.4,257570.0,2.82,87941.3
2024-11-14,87294.0,90424.8,91726.7,86740.2,153340.0,-3.46,90422.2
2024-11-15,91046.5,87297.2,91833.1,87118.8,158190.0,4.3,87294.0
2024-11-16,90539.1,91035.3,91748.9,90079.0,79820.0,-0.56,91046.5
2024-11-17,89833.7,90569.4,91441.6,88736.1,81240.0,-0.78,90539.1
2024-11-18,90478.7,89843.3,92567.1,89410.4,150470.0,0.72,89833.7
2024-11-19,92239.2,90482.1,93918.5,90378.7,146040.0,1.95,90478.7
2024-11-20,94303.9,92252.6,94836.1,91517.4,121460.0,2.24,92239.2
2024-11-21,98374.5,94308.7,98937.2,94063.8,179070.0,4.32,94303.9
2024-11-22,98929.7,98381.2,99617.4,97182.2,132230.0,0.56,98374.5
2024-11-23,97699.0,98927.2,98927.2,97180.9,72170.0,-1.24,98929.7
2024-11-24,97935.2,97696.4,98552.6,95765.4,77040.0,0.24,97699.0
2024-11-25,93064.4,97948.8,98872.4,92875.3,124980.0,-4.97,97935.2
2024-11-26,91977.6,93046.5,94978.8,90817.2,131880.0,-1.17,93064.4
2024-11-27,95886.6,91975.5,97219.8,91795.5,106390.0,4.25,91977.6
2024-11-28,95645.5,95881.4,96549.0,94648.8,68170.0,-0.25,95886.6
2024-11-29,97438.0,95645.6,98599.8,95405.7,76540.0,1.87,95645.5
2024-11-30,96405.7,97438.5,97461.9,96119.6,36920.0,-1.06,97438.0
2024-12-01,97201.4,96404.7,97813.9,95721.8,42900.0,0.83,96405.7
2024-12-02,95846.6,97199.3,98082.0,94510.6,95800.0,-1.39,97201.4
2024-12-03,95898.7,95843.9,96245.0,93646.1,95080.0,0.05,95846.6
2024-12-04,98635.8,95900.1,99030.7,94625.3,113770.0,2.85,95898.7
2024-12-05,96970.8,98624.8,103719.4,92510.4,245790.0,-1.69,98635.8
2024-12-06,99760.7,96968.9,101908.5,96452.0,213490.0,2.88,96970.8
2024-12-07,99837.0,99757.2,100441.8,98969.0,118440.0,0.08,99760.7
2024-12-08,101115.8,99837.0,101339.9,98713.9,128930.0,1.28,99837.0
2024-12-09,97359.4,101129.7,101198.6,94395.8,321010.0,-3.72,101115.8
2024-12-10,96600.3,97311.5,98237.8,94304.5,271450.0,-0.78,97359.4
2024-12-11,101126.2,96603.2,101877.1,95689.5,250020.0,4.69,96600.3
2024-12-12,100009.9,101126.3,102495.3,99334.5,188960.0,-1.1,101126.2
2024-12-13,101426.2,100008.3,101891.2,99214.2,162400.0,1.42,100009.9
2024-12-14,101417.7,101423.7,102633.0,100626.3,105310.0,-0.01,101426.2
2024-12-15,104443.0,101417.9,105120.9,101234.9,133990.0,2.98,101417.7
2024-12-16,106057.6,104479.2,107767.6,103351.7,232660.0,1.55,104443.0
2024-12-17,106138.9,106053.4,108244.9,105350.6,149370.0,0.08,106057.6
2024-12-18,100197.8,106140.7,106477.6,100049.3,187490.0,-5.6,106138.9
2024-12-19,97466.1,100190.5,102778.8,95672.2,200570.0,-2.73,100197.8
2024-12-20,97795.7,97468.3,98178.2,92301.9,221180.0,0.34,97466.1
2024-12-21,97253.3,97799.1,99531.9,96478.6,123360.0,-0.55,97795.7
2024-12-22,95183.8,97281.6,97422.2,94265.2,100640.0,-2.13,97253.3
2024-12-23,94852.1,95184.8,96517.8,92543.2,133240.0,-0.35,95183.8
2024-12-24,98668.1,94852.8,99446.6,93566.2,69860.0,4.02,94852.1
2024-12-25,99391.3,98661.9,99514.1,97651.9,39800.0,0.73,98668.1
2024-12-26,95777.7,99389.4,99922.5,95193.3,74600.0,-3.64,99391.3
2024-12-27,94275.9,95776.4,97243.3,93472.8,85120.0,-1.57,95777.7
2024-12-28,95284.5,94274.9,95684.3,94124.7,32970.0,1.07,94275.9
2024-12-29,93716.3,95282.6,95315.4,93026.7,47710.0,-1.65,95284.5
2024-12-30,92779.8,93718.7,94936.4,91522.3,112430.0,-1.0,93716.3
2024-12-31,93557.2,92777.2,96163.4,92036.2,74850.0,0.84,92779.8
2025-01-01,94560.2,93557.3,95100.0,92939.3,43340.0,1.07,93557.2
2025-01-02,96960.0,94561.1,97808.0,94381.2,76130.0,2.54,94560.2
2025-01-03,98167.5,96960.2,98963.3,96090.6,61620.0,1.25,96960.0
2025-01-04,98219.9,98168.9,98742.6,97568.9,36560.0,0.05,98167.5
2025-01-05,98347.7,98220.1,98823.1,97300.0,31340.0,0.13,98219.9
2025-01-06,102248.7,98373.2,102474.5,97932.3,86730.0,3.97,98347.7
2025-01-07,96929.8,102247.9,102678.2,96201.3,99770.0,-5.2,102248.7
2025-01-08,95066.6,96938.2,97266.4,92716.6,100360.0,-1.92,96929.8
2025-01-09,92539.8,95066.6,95323.1,91241.9,132780.0,-2.66,95066.6
2025-01-10,94724.1,92540.5,95760.6,92310.6,125420.0,2.36,92539.8
2025-01-11,94612.0,94724.0,94765.5,93847.8,72660.0,-0.12,94724.1
2025-01-12,94541.8,94600.0,95384.3,93711.2,17600.0,-0.07,94612.0
2025-01-13,94536.1,94545.0,95928.1,89423.1,37700.0,-0.01,94541.8
2025-01-14,96542.1,94536.7,97361.2,94359.5,87790.0,2.12,94536.1
2025-01-15,100499.8,96547.4,100671.0,96501.9,95320.0,4.1,96542.1
2025-01-16,100004.5,100499.9,100812.4,97400.2,87080.0,-0.49,100499.8
2025-01-17,104084.9,99991.9,105843.8,99956.2,127330.0,4.08,100004.5
2025-01-18,104536.9,104084.7,104953.1,102297.0,79300.0,0.43,104084.9
2025-01-19,101319.5,104536.8,106338.2,99742.7,123720.0,-3.08,104536.9
2025-01-20,102197.7,101313.3,109228.6,99676.0,202660.0,0.87,101319.5
2025-01-21,106157.2,102190.2,107211.9,100192.5,129360.00000000001,3.87,102197.7
